City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,tha yang,12.9577,99.9055,299.86,81,100,1.05,TH,1699627650
169,linxia chengguanzhen,35.6003,103.2064,277.38,57,27,1.86,CN,1699627650
170,san luis de la loma,17.2706,-100.8939,300.92,77,86,0.83,MX,1699627651
171,ayaviri,-14.8864,-70.5889,287.57,39,40,3.29,PE,1699627651
172,zhongshu,24.5167,103.7667,287.19,77,0,1.42,CN,1699627651
173,molde,62.7375,7.1591,278.06,70,0,4.12,NO,1699627652
174,college,64.8569,-147.8028,266.73,91,100,0.0,US,1699627652
175,tinajo,29.0788,-13.7081,298.64,50,20,9.77,ES,1699627653
176,pointe-du-lac,46.2869,-72.6845,278.1,84,100,6.69,CA,1699627653
177,avarua,-21.2078,-159.775,297.18,94,75,2.06,CK,1699627654
178,cockburn town,21.4612,-71.1419,302.13,70,40,5.14,TC,1699627471
179,st. john's,47.5649,-52.7093,277.58,88,75,12.35,CA,1699627654
180,mehekar,20.15,76.5667,296.75,47,75,2.21,IN,1699627655
181,karachi,24.9056,67.0822,301.05,21,0,2.57,PK,1699627548
182,takayama,36.1333,137.25,282.48,96,100,3.01,JP,1699627655
183,olinda,-8.0089,-34.8553,303.0,62,40,5.66,BR,1699627656
184,pochep,52.9336,33.4464,278.85,78,100,5.1,RU,1699627656
185,disa,24.25,72.1667,300.37,39,0,2.33,IN,1699627657
186,coxim,-18.5067,-54.76,314.57,18,71,4.47,BR,1699627657
187,trujillo,-8.116,-79.03,292.13,88,75,4.12,PE,1699627658
188,camarinas,43.1311,-9.1817,288.67,94,100,10.58,ES,1699627658
189,tuy hoa,13.0833,109.3,298.42,92,100,1.29,VN,1699627658
190,tulun,54.5611,100.5792,258.0,98,25,1.5,RU,1699627512
191,rmi capitol,7.0893,171.3805,301.12,83,100,2.57,MH,1699627659
192,codrington,-38.2667,141.9667,289.02,73,3,5.6,AU,1699627659
193,wailua homesteads,22.0669,-159.378,297.59,78,40,7.2,US,1699627660
194,acarau,-2.8856,-40.12,305.08,54,6,9.7,BR,1699627660
195,niederaula,50.8,9.6,282.31,74,84,5.35,DE,1699627621
196,lagos,6.5833,3.75,304.19,65,69,3.29,NG,1699627577
197,sur,22.5667,59.5289,299.97,69,0,4.8,OM,1699627438
198,kuressaare,58.2481,22.5039,281.12,99,100,7.15,EE,1699627663
199,howrah,22.5892,88.3103,299.15,65,1,0.0,IN,1699627663
200,kodiak,57.79,-152.4072,272.88,69,100,2.06,US,1699627664
201,bouna,9.2667,-3.0,304.9,48,65,1.84,CI,1699627664
202,bambui,-20.0064,-45.9769,306.43,22,36,3.94,BR,1699627665
203,weno,7.4515,151.8468,300.12,89,100,2.57,FM,1699627665
204,cabedelo,-6.9811,-34.8339,304.52,60,75,7.76,BR,1699627666
205,isangel,-19.55,169.2667,295.23,73,99,6.32,VU,1699627666
206,kindu,-2.95,25.95,302.97,57,66,0.76,CD,1699627666
207,ola,59.5833,151.2833,256.55,83,44,6.63,RU,1699627667
208,altai,46.3722,96.2583,261.64,95,97,0.27,MN,1699627667
209,villa gesell,-37.2639,-56.973,291.51,43,97,9.16,AR,1699627668
210,khandyga,62.6667,135.6,239.22,100,90,0.47,RU,1699627668
211,tamanrasset,22.785,5.5228,303.1,9,0,2.06,DZ,1699627668
212,neryungri,56.6709,124.6491,256.66,98,100,1.48,RU,1699627507
213,quesnel,52.9999,-122.5029,273.43,86,20,3.09,CA,1699627669
214,karauli,26.5,77.0167,298.64,44,81,1.91,IN,1699627670
215,'ain benian,36.8028,2.9219,295.18,71,26,10.21,DZ,1699627670
216,thinadhoo,0.5333,72.9333,300.72,82,100,4.89,MV,1699627670
217,olyokminsk,60.3736,120.4264,263.33,93,100,3.23,RU,1699627671
218,richards bay,-28.783,32.0377,297.55,69,9,6.52,ZA,1699627671
219,carutapera,-1.195,-46.02,304.61,57,32,6.06,BR,1699627672
220,akureyri,65.6835,-18.0878,271.11,69,0,0.0,IS,1699627388
221,salmon arm,50.6998,-119.3024,276.1,100,92,0.51,CA,1699627673
222,emerald,-23.5333,148.1667,294.45,71,66,5.3,AU,1699627673
223,greymouth,-42.4667,171.2,281.28,92,9,1.87,NZ,1699627673
224,jizzax,40.1158,67.8422,284.93,46,82,2.32,UZ,1699627674
225,carnarvon,-24.8667,113.6333,293.25,76,100,11.14,AU,1699627674
226,sinabang,2.4803,96.3801,299.29,84,100,1.56,ID,1699627675
227,karratha,-20.7377,116.8463,300.62,54,0,8.43,AU,1699627675
228,egilsstadir,65.2653,-14.3948,274.1,93,75,0.51,IS,1699627675
229,hanceville,34.0607,-86.7675,287.69,85,100,2.81,US,1699627676
230,urangan,-25.3,152.9,294.49,76,8,3.05,AU,1699627676
231,kete krachi,7.7939,-0.0498,304.66,54,38,2.35,GH,1699627677
232,castillos,-34.1667,-53.8333,291.42,62,93,5.98,UY,1699627677
233,namibe,-15.1961,12.1522,297.1,62,36,4.17,AO,1699627677
